target,xmid,dose,K,r,x_2,y_21,B0_21,maxB1,maxB2,maxB3,minB1,minB2,minB3,sp_survival
x,30.0,71.0,0.8262686110014499,4.900749719809166e-7,3.6330686726845843e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014499,0.0,0.03257883368083722,0.8262686110014499,0.0,0.0,1
x,30.0,72.0,0.8262686110014499,4.900749719809166e-7,3.390727295272921e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014499,0.0,0.03472994611390985,0.8262686110014499,0.0,0.0,1
x,30.0,73.0,0.8262686110014499,4.900749719809166e-7,3.1673799360943183e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014499,0.0,0.03688222743205561,0.8262686110014499,0.0,0.0,1
x,30.0,74.0,0.8262686110014499,4.900749719809166e-7,2.961330667475609e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014497,0.0,0.03903070743949084,0.8262686110014497,0.0,0.0,1
x,30.0,75.0,0.8262686110014499,4.900749719809166e-7,2.771051937238901e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014497,0.0,0.04117299714469178,0.8262686110014497,0.0,0.0,1
x,30.0,76.0,0.8262686110014499,4.900749719809166e-7,2.595166359583107e-9,1.1107426755788226e-5,2.635992579106475,0.82626861100145,0.0,0.04331017090839696,0.82626861100145,0.0,0.0,1
x,30.0,77.0,0.8262686110014499,4.900749719809166e-7,2.432430610084043e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014501,0.0,0.045446240909754985,0.8262686110014499,0.0,0.0,1
x,30.0,78.0,0.8262686110014499,4.900749719809166e-7,2.281721170283157e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014501,0.0,0.047591134505996766,0.8262686110014499,0.0,0.0,1
x,30.0,79.0,0.8262686110014499,4.900749719809166e-7,2.1420216987458773e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014499,0.0,0.03756759756651605,0.8262686110014499,0.0,0.0,1
x,30.0,80.0,0.8262686110014499,4.900749719809166e-7,2.0124118330866614e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014499,0.0,0.03936324080193777,0.8262686110014499,0.0,0.0,1
x,30.0,81.0,0.8262686110014499,4.900749719809166e-7,1.8920572516884855e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014497,0.0,0.05420959451293838,0.8262686110014497,0.0,0.0,1
x,30.0,82.0,0.8262686110014499,4.900749719809166e-7,1.7802008450725676e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014497,0.0,0.056512316684980926,0.8262686110014497,0.0,0.0,1
x,30.0,83.0,0.8262686110014499,4.900749719809166e-7,1.6761548654505538e-9,1.1107426755788226e-5,2.635992579106475,0.82626861100145,0.0,0.058771877544610975,0.82626861100145,0.0,0.0,1
x,30.0,84.0,0.8262686110014499,4.900749719809166e-7,1.5792939392347144e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014499,0.0,0.06110313190693281,0.8262686110014499,0.0,0.0,1
x,30.0,85.0,0.8262686110014499,4.900749719809166e-7,1.4890488414772982e-9,1.1107426755788226e-5,2.635992579106475,0.82626861100145,0.0,0.06349559223208584,0.82626861100145,0.0,0.0,1
x,30.0,86.0,0.8262686110014499,4.900749719809166e-7,1.4049009436129337e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014499,0.0,0.06592571713489437,0.8262686110014499,0.0,0.0,1
x,30.0,87.0,0.8262686110014499,4.900749719809166e-7,1.3263772567129827e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014497,0.0,0.06826655019818348,0.8262686110014497,0.0,0.0,1
x,30.0,88.0,0.8262686110014499,4.900749719809166e-7,1.2530460019270811e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014497,0.0,0.053333287831490564,0.8262686110014497,0.0,0.0,1
x,30.0,89.0,0.8262686110014499,4.900749719809166e-7,1.1845126480591194e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014501,0.0,0.05510124859917842,0.8262686110014498,0.0,0.0,1
x,30.0,90.0,0.8262686110014499,4.900749719809166e-7,1.1204163634558415e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014499,0.0,0.05684144490480059,0.8262686110014499,0.0,0.0,1
x,30.0,91.0,0.8262686110014499,4.900749719809166e-7,1.0604268357095943e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014501,0.0,0.058555592001216204,0.8262686110014498,0.0,0.0,1
x,30.0,92.0,0.8262686110014499,4.900749719809166e-7,1.0042414182094135e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014501,0.0,0.060244166021289354,0.8262686110014498,0.0,0.0,1
x,30.0,93.0,0.8262686110014499,4.900749719809166e-7,9.51582567418109e-10,1.1107426755788226e-5,2.635992579106475,0.8262686110014501,0.0,0.0619042250892951,0.8262686110014498,0.0,0.0,1
x,30.0,94.0,0.8262686110014499,4.900749719809166e-7,9.021955389959686e-10,1.1107426755788226e-5,2.635992579106475,0.8262686110014499,0.0,0.06353454469560466,0.8262686110014499,0.0,0.0,1
x,30.0,95.0,0.8262686110014499,4.900749719809166e-7,8.558463146111461e-10,1.1107426755788226e-5,2.635992579106475,0.8262686110014499,0.0,0.06513510103636072,0.8262686110014499,0.0,0.0,1
x,30.0,96.0,0.8262686110014499,4.900749719809166e-7,8.123197345396447e-10,1.1107426755788226e-5,2.635992579106475,0.8262686110014501,0.0,0.06670617080308577,0.8262686110014498,0.0,0.0,1
x,30.0,97.0,0.8262686110014499,4.900749719809166e-7,7.714178140224157e-10,1.1107426755788226e-5,2.635992579106475,0.8262686110014499,0.0,0.09056751992423588,0.8262686110014499,0.0,0.0,1
