target,asymptote,dose,K,r,x_2,y_21,B0_21,maxB1,maxB2,maxB3,minB1,minB2,minB3,sp_survival
y,0.5,11.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1104566050592096e-5,2.635992579106475,0.33102283905137053,0.07922098329490593,0.19044962689099312,0.3288682310381048,0.07801331081493736,0.18931258812303378,3
y,0.5,12.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1103008061085482e-5,2.635992579106475,0.33102030430406487,0.07923233733196407,0.19043925663662353,0.32886581175571805,0.07802465532588779,0.1893023526886698,3
y,0.5,13.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.110083601081624e-5,2.635992579106475,0.3310167695238635,0.07924817190978323,0.19042479419172562,0.3288624382180509,0.07804047661740295,0.18928807815203813,3
y,0.5,14.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.10978850323454e-5,2.635992579106475,0.3310119654789354,0.0792696951210256,0.19040513578236135,0.3288578529807631,0.07806198150342256,0.18926867526666383,3
y,0.5,15.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.109396394690553e-5,2.635992579106475,0.33100557823149285,0.07929831182933518,0.1903789981273334,0.32885175584566273,0.0780905745582947,0.18924287724220815,3
y,0.5,16.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1088853906141672e-5,2.635992579106475,0.3309972479181975,0.0793356367737271,0.19034490607987486,0.3288438046019656,0.07812786860919987,0.18920922804219742,3
y,0.5,17.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1082307354642486e-5,2.635992579106475,0.3309865653759113,0.07938350548163528,0.1903011820602411,0.32883360725371047,0.07817569835089828,0.189166072448515,3
y,0.5,18.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1074047406890617e-5,2.635992579106475,0.33097307076583443,0.0794439847813785,0.19024593772352938,0.32882072468337664,0.07823612952833026,0.1891115458491561,3
y,0.5,19.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1063767747422356e-5,2.635992579106475,0.33095625043687715,0.07951938080418373,0.19017706497452636,0.32880466628285454,0.07831146665952941,0.1890435678202394,3
y,0.5,20.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1051133177044923e-5,2.635992579106475,0.3309355377698741,0.07961224433517856,0.19009223151048626,0.32878489050324555,0.07840426043356473,0.18895983605968183,3
y,0.5,21.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1035780939435716e-5,2.635992579106475,0.3309103103556496,0.07972537406486616,0.18998887832931138,0.3287608026751864,0.07851730858390482,0.18885782375845905,3
y,0.5,22.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1017322969463053e-5,2.635992579106475,0.33087989240177834,0.07986181454071663,0.18986421872299802,0.328731758074817,0.07865365653886294,0.18873478011154748,3
y,0.5,23.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.099534920486511e-5,2.635992579106475,0.33084355512019686,0.08002485132699265,0.18971524484181132,0.3286970607294303,0.07881659185495421,0.1885877343283206,3
y,0.5,24.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.0969432093946036e-5,2.635992579106475,0.3308005191939825,0.08021800093823966,0.18953873447039232,0.3286559676527843,0.07900963494427114,0.1884135036034546,3
y,0.5,25.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.0939132411003557e-5,2.635992579106475,0.3307499579227226,0.08044499268739401,0.18933126685884966,0.32860769359827413,0.07923652268878499,0.18820870545998644,3
y,0.5,26.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.090400645573071e-5,2.635992579106475,0.33069099848454436,0.08070974680642018,0.18908924040210498,0.32855141638159413,0.07950118660297702,0.18796977518988178,3
y,0.5,27.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.0863614660788444e-5,2.635992579106475,0.33062272810128035,0.0810163440820716,0.1888089009196187,0.32848628326580837,0.07980772604871966,0.1876929876543518,3
y,0.5,28.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.0817531562076633e-5,2.635992579106475,0.33054419858469464,0.08136899002259229,0.18848637331085002,0.3284114218198891,0.08016037168263095,0.18737448620599811,3
y,0.5,29.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.0765356999447187e-5,2.635992579106475,0.330454426711053,0.0817719694161199,0.1881177064712444,0.3283259447060362,0.08056344068231945,0.18701028582686052,3
y,0.5,30.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.0706728314330901e-5,2.635992579106475,0.3303523928316144,0.08222958537878923,0.18769892255429052,0.32822896359103404,0.08102128387778328,0.1865964221716349,3
y,0.5,31.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.0641333200193938e-5,2.635992579106475,0.3302370574099323,0.08274610712790034,0.18722607512152104,0.32811959737940477,0.08153822250777817,0.1861289815041291,3
y,0.5,32.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.0568922749903862e-5,2.635992579106475,0.33010737083518094,0.08332570431502054,0.186695329602376,0.3279969686707344,0.08211846083023377,0.1856042044139821,3
y,0.5,33.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.0489324141603299e-5,2.635992579106475,0.32996234222965437,0.08397238771783852,0.18610303706361048,0.3278602224050936,0.08276599923577428,0.1850186059792837,3
y,0.5,34.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.0402452324145798e-5,2.635992579106475,0.3298011042976244,0.08468994391052298,0.1854458158197508,0.32770856879420196,0.08348452466770585,0.18436897795633597,3
