target,xmid,dose,r,x_2,y_21,B0_21,meanB1,meanB2,meanB3,maxB1,maxB2,maxB3,minB1,minB2,minB3,stabilityB1,stabilityB2,stabilityB3,sp_survival
B0,8.0,9.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,2.635991223971608,0.32996238759121876,0.0786035003250486,0.18988592591945472,0.3299623875912185,0.07860350032504895,0.1898859259194542,0.3299623875912185,0.07860350032504895,0.1898859259194542,-8.418052248071781e-16,-4.41717068443999e-15,-2.7793092878601477e-15,3
B0,8.0,10.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,2.6359894310526544,0.3299624326932631,0.07860344686140192,0.18988598312369995,0.32996243269326153,0.078603446861402,0.1898859831236995,0.32996243269326153,0.078603446861402,0.1898859831236995,-4.71410861455604e-15,-1.0601216853272679e-15,-2.3404702741702985e-15,3
B0,8.0,11.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,2.6359858309827477,0.32996252325555553,0.0786033395097181,0.18988609798630193,0.32996252325555553,0.07860333950971833,0.18988609798630157,0.3299625232555551,0.07860333950971776,0.18988609798630116,-9.156267977085855e-16,-2.548206625569132e-15,-3.1519201791630522e-15,3
B0,8.0,12.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,2.6359790431046086,0.32996269401011064,0.07860313709971899,0.1898863145581374,0.3299626940101107,0.07860313709971857,0.18988631455813768,0.3299626940101107,0.07860313709971857,0.18988631455813768,-1.6836088861344305e-16,-5.300629315438585e-15,-1.4627913681430488e-15,3
B0,8.0,13.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,2.635966899683845,0.32996299948994917,0.07860277499100976,0.18988670200254587,0.3299629994899475,0.07860277499101001,0.18988670200254537,0.3299629994899475,0.07860277499101001,0.18988670200254537,-5.050821982346538e-15,-3.1803922406851123e-15,-2.6330190902401743e-15,3
B0,8.0,14.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,2.635946121236035,0.32996352219927844,0.07860215539155391,0.18988736495467734,0.3299635221992778,0.07860215539155427,0.18988736495467703,0.3299635221992776,0.0786021553915537,0.18988736495467648,-2.228548257055193e-15,-2.7897195636777725e-15,-3.312679350491784e-15,3
B0,8.0,15.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,2.6359119003032587,0.3299643830907826,0.07860113494616107,0.18988845680248906,0.3299643830907829,0.07860113494616125,0.1898884568024893,0.3299643830907825,0.07860113494616064,0.1898884568024887,-6.568630687908509e-16,-3.1695684815930685e-15,-1.414609935853496e-15,3
B0,8.0,16.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,2.635857377997813,0.3299657547492986,0.07859950912737418,0.18989019639050042,0.32996575474929946,0.0785995091273744,0.18989019639050045,0.3299657547492991,0.07859950912737382,0.1898901963904999,-2.035714209763785e-15,-2.7793805527787236e-15,-1.8428124145611567e-15,3
B0,8.0,17.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,2.635772996538683,0.32996787771333486,0.0785969929285375,0.18989288868302567,0.3299678777133359,0.0785969929285376,0.18989288868302484,0.3299678777133359,0.0785969929285376,0.18989288868302484,-3.1988066305069708e-15,-1.2369101924909695e-15,-4.3882221781531336e-15,3
B0,8.0,18.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,2.635645710052555,0.32997108039809564,0.07859319733041062,0.18989694995537337,0.329971080398095,0.07859319733041062,0.1898969499553725,0.329971080398095,0.07859319733041062,0.1898969499553725,-2.0202793155984144e-15,-0.0,-4.534399272769712e-15,3
B0,8.0,19.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,2.635458035183067,0.3299758031161505,0.07858760099096437,0.18990293810698214,0.329975803116149,0.0785876009909646,0.1899029381069815,0.329975803116149,0.0785876009909646,0.1899029381069815,-4.5455634016242755e-15,-2.8275611761817246e-15,-3.36412563521065e-15,3
B0,8.0,20.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,2.635186922679463,0.3299826267247848,0.07857951659691553,0.18991158870613617,0.3299826267247834,0.07857951659691575,0.1899115887061354,0.3299826267247834,0.07857951659691575,0.1899115887061354,-4.2087679678936936e-15,-2.82785208047505e-15,-4.095270744235843e-15,3
B0,8.0,21.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,2.6348024313084153,0.3299923064623956,0.07856805132065259,0.1899238573764261,0.3299923064623943,0.07856805132065246,0.18992385737642611,0.3299923064623943,0.07856805132065246,0.18992385737642611,-3.871952950274744e-15,-1.5908989180441394e-15,-1.4625022137877873e-16,3
B0,8.0,22.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,2.6342661864185435,0.33000581157059106,0.07855206085566417,0.18994096911313302,0.3300058115705917,0.07855206085566463,0.18994096911313368,0.3300058115705917,0.07855206085566463,0.18994096911313368,-2.0200666930719655e-15,-5.8344834888285694e-15,-3.5096890975473137e-15,3
B0,8.0,23.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,2.633529607657411,0.3300243713340892,0.07853009656824139,0.18996447506278763,0.3300243713340876,0.07853009656824121,0.18996447506278843,0.3300243713340876,0.07853009656824121,0.18996447506278843,-4.881553299532333e-15,-2.2990757442249973e-15,-4.24034956609525e-15,3
B0,8.0,24.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,2.632531894196248,0.33004952820765154,0.07850034541821622,0.1899963171974619,0.3300495282076503,0.07850034541821628,0.1899963171974623,0.33004952820765,0.07850034541821571,0.1899963171974617,-4.2360307753009845e-15,-3.961283316303755e-15,-1.4148873333030739e-15,3
B0,8.0,25.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,2.63119776201752,0.3300831987390235,0.07846056248639502,0.19003890114836078,0.3300831987390239,0.07846056248639514,0.1900389011483606,0.3300831987390239,0.07846056248639514,0.1900389011483606,-1.3463953957074932e-15,-1.5930784062443653e-15,-8.769701156521397e-16,3
