target,slope,dose,K,r,x_2,y_21,B0_21,maxB1,maxB2,maxB3,minB1,minB2,minB3,sp_survival
x,2.0,97.0,0.8262686110014499,4.900749719809166e-7,5.738970372894981e-8,1.1107426755788226e-5,2.635992579106475,0.7376263252704789,0.016359261943882198,0.47961116292049777,0.7357527538929547,0.015846093888046392,0.4779254586399831,3
x,2.0,98.0,0.8262686110014499,4.900749719809166e-7,5.6465133981168485e-8,1.1107426755788226e-5,2.635992579106475,0.7391304897597674,0.01610633753569167,0.4805720320307847,0.7372005216241013,0.015587229318232573,0.47887661744224164,3
x,2.0,99.0,0.8262686110014499,4.900749719809166e-7,5.556084722445844e-8,1.1107426755788226e-5,2.635992579106475,0.7405831660057414,0.015852620077991837,0.4815007465088703,0.7386426887136237,0.015334733032018995,0.47980743502823725,3
x,2.0,100.0,0.8262686110014499,4.900749719809166e-7,5.467631853664507e-8,1.1107426755788226e-5,2.635992579106475,0.7420102788625907,0.01560168703536035,0.48240884109498966,0.740050504519474,0.01508831833521543,0.48071460845897607,3
x,4.0,0.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,2.635992579106475,0.33102749092027745,0.07920014385845774,0.19046866001394258,0.32887267108176804,0.07799248937520874,0.1893313740349052,3
x,4.0,1.0,0.8262686110014499,4.900749719809166e-7,2.7338154894217754e-7,1.1107426755788226e-5,2.635992579106475,0.331027589191577,0.07920013090855257,0.190468737965546,0.3288727692564857,0.07799247636425874,0.18933145159185802,3
x,4.0,2.0,0.8262686110014499,4.900749719809166e-7,2.733808928281397e-7,1.1107426755788226e-5,2.635992579106475,0.3310290624303916,0.07919993417710973,0.19046990460874166,0.3288742432814555,0.07799228388995014,0.18933261602722068,3
x,4.0,3.0,0.8262686110014499,4.900749719809166e-7,2.7337804970370115e-7,1.1107426755788226e-5,2.635992579106475,0.3310354467387901,0.07919908254719538,0.19047496022692825,0.3288806292949327,0.07799144943523106,0.18933766180727113,3
x,4.0,4.0,0.8262686110014499,4.900749719809166e-7,2.733703954318285e-7,1.1107426755788226e-5,2.635992579106475,0.3310526341134294,0.07919678964475968,0.19048857073229317,0.32889782243038823,0.07798920320426939,0.18935124563721126,3
x,4.0,5.0,0.8262686110014499,4.900749719809166e-7,2.733542572574996e-7,1.1107426755788226e-5,2.635992579106475,0.33108887081147653,0.0791919554667392,0.19051726585525675,0.32893407056510654,0.07798446677164962,0.18937988479994064,3
x,4.0,6.0,0.8262686110014499,4.900749719809166e-7,2.733249160286376e-7,1.1107426755788226e-5,2.635992579106475,0.3311547506112666,0.0791831664069485,0.1905694332937887,0.3289999718990372,0.0779754891408362,0.18943195028138374,3
x,4.0,7.0,0.8262686110014499,4.900749719809166e-7,2.732766107404433e-7,1.1107426755788226e-5,2.635992579106475,0.3312632022190852,0.07916869658041156,0.19065530699196592,0.3291084587278447,0.07796167877049544,0.1895176564119374,3
x,4.0,8.0,0.8262686110014499,4.900749719809166e-7,2.732025466622447e-7,1.1107426755788226e-5,2.635992579106475,0.33142946476494123,0.07914830250732048,0.19078694545159175,0.3292747759019203,0.07793994265466911,0.18964903886311313,3
x,4.0,9.0,0.8262686110014499,4.900749719809166e-7,2.730949085720028e-7,1.1107426755788226e-5,2.635992579106475,0.3316710520950184,0.07911426819735522,0.19097819883182315,0.3295164429556765,0.07790835392276148,0.1898399213112275,3
x,4.0,10.0,0.8262686110014499,4.900749719809166e-7,2.7294488087382717e-7,1.1107426755788226e-5,2.635992579106475,0.3320076923662818,0.0790693280901977,0.19124465533598156,0.32985319689495857,0.07786432603907413,0.1901058639661109,3
x,4.0,11.0,0.8262686110014499,4.900749719809166e-7,2.727426765987322e-7,1.1107426755788226e-5,2.635992579106475,0.33246124878051037,0.07900875968497233,0.1916035677446372,0.3303069088122137,0.07780498873994152,0.19046408909276638,3
x,4.0,12.0,0.8262686110014499,4.900749719809166e-7,2.7247757747577927e-7,1.1107426755788226e-5,2.635992579106475,0.333055602591135,0.07892935283685987,0.19207374990526102,0.33090147229677636,0.07772719826351086,0.19093337916873943,3
x,4.0,13.0,0.8262686110014499,4.900749719809166e-7,2.721379873939519e-7,1.1107426755788226e-5,2.635992579106475,0.33381650328747137,0.07882939618183521,0.19267543961181605,0.33166265157478847,0.0776275556712528,0.19153394111876687,3
x,4.0,14.0,0.8262686110014499,4.900749719809166e-7,2.7171150163573124e-7,1.1107426755788226e-5,2.635992579106475,0.33477137173742577,0.07869989306875523,0.19343012356852055,0.33261788508694146,0.07750242785193899,0.19228723180529728,3
x,4.0,15.0,0.8262686110014499,4.900749719809166e-7,2.7118499422996265e-7,1.1107426755788226e-5,2.635992579106475,0.3359490532584501,0.0785421966763956,0.19436031552679636,0.3337960451594352,0.07734797175735432,0.19321573856309984,3
x,4.0,16.0,0.8262686110014499,4.900749719809166e-7,2.705447256210967e-7,1.1107426755788226e-5,2.635992579106475,0.33737951903926106,0.07835043441145119,0.19548928866318607,0.33522713424871275,0.07716017046632276,0.19434271300100106,3
x,4.0,17.0,0.8262686110014499,4.900749719809166e-7,2.697764725608644e-7,1.1107426755788226e-5,2.635992579106475,0.33909350412280215,0.0781203497789963,0.19684075388724703,0.33694193249005405,0.07693487286672036,0.19569184941888365,3
x,4.0,18.0,0.8262686110014499,4.900749719809166e-7,2.6886568167529797e-7,1.1107426755788226e-5,2.635992579106475,0.34112207440498843,0.07784758886022834,0.19843848707585224,0.33897157658132243,0.07666783986829948,0.1972869097312029,3
x,4.0,19.0,0.8262686110014499,4.900749719809166e-7,2.677976475274768e-7,1.1107426755788226e-5,2.635992579106475,0.3434961435734026,0.07752775401919043,0.2003059038500906,0.3413470830032613,0.07635480490262016,0.1991512856839412,3
x,4.0,20.0,0.8262686110014499,4.900749719809166e-7,2.665577151747517e-7,1.1107426755788226e-5,2.635992579106475,0.34624592151337347,0.07715646800732551,0.20246558618360713,0.3440988171177792,0.07599153952847218,0.20130748546828928,3
